fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,b'example.com',93.184.216.34,2606:2800:220:1:248:1893:25c8:1946,,a.iana-servers.net,,,,
Addition,b'examplea.com',52.204.129.22,,,,,,,
Addition,b'examplec.com',52.204.129.22,,,,,,,
Addition,b'exampled.com',72.52.4.119,,localhost,ns1.sedoparking.com,,,,
Addition,b'examplee.com',208.91.197.46,,,sk.s5.ans1.ns148.ztomy.com,,,,
Addition,b'exampleg.com',202.181.185.161,,mx.zoho.com,ns6.timway.com,,,,
Addition,b'examplel.com',,,smtp-in.eu.cloudmxguard.com,b.ns14.net,,,,
Addition,b'examplem.com',141.8.224.93,,,ns7.rookdns.com,,,,
Addition,b'exampleq.com',67.23.3.156,,,ns1.slicehost.net,,,,
Addition,b'exampler.com',66.111.4.53,,in1-smtp.messagingengine.com,ns1.messagingengine.com,,,,
Addition,b'examples.com',52.206.37.44,,alt1.aspmx.l.google.com,ns-1064.awsdns-05.org,,,,
Addition,b'examplet.com',50.63.202.48,,mailstore1.secureserver.net,ns23.domaincontrol.com,,,,
Addition,b'exampleu.com',185.27.134.162,,mx.exampleu.com,ns1.byet.org,,,,
Addition,b'examplex.com',119.81.170.18,,mail.efty.com,ns1.eftydns.com,,,,
Addition,b'examplez.com',176.74.176.187,,,ns1.uniregistrymarket.link,,,,
Bitsquatting,b'dxample.com',174.34.235.249,,dxample.com,ns1.dxample.com,,,,
Bitsquatting,b'axample.com',204.11.56.37,,,ns1637.ztomy.com,,,,
Bitsquatting,b'uxample.com',66.6.44.4,,mailstore1.secureserver.net,ns71.domaincontrol.com,,,,
Bitsquatting,b'ezample.com',208.91.197.46,,,sk.s5.ans1.ns148.ztomy.com,,,,
Bitsquatting,b'exemple.com',208.73.211.70,,,ns1.namefind.com,,,,
Bitsquatting,b'eximple.com',206.188.192.139,,p.webcom.ctmail.com,ns93.worldnic.com,,,,
Bitsquatting,b'exampld.com',,,,a.ezdnscenter.com,,,,
Bitsquatting,b'exampla.com',176.74.176.187,,,ns1.uniregistrymarket.link,,,,
Bitsquatting,b'examplu.com',157.7.156.160,,mx11.gmoserver.jp,dns01.gmoserver.jp,,,,
Homoglyph,b'exampie.com',72.52.4.119,,localhost,ns1.sedoparking.com,,,,
Homoglyph,b'exanple.com',88.214.197.200,,mail.b-io.co,ns3.epik.com,,,,
Homoglyph,b'examp1e.com',64.57.183.2,2001:470:1f07:1126::555:1212,mx.examp1e.com,osdn.iecc.com,,,,
Homoglyph,b'exarnple.com',,,,ns-cloud-e1.googledomains.com,,,,
Homoglyph,b'xn--xample-9ua.com',45.79.105.33,2600:3c01::f03c:91ff:fe37:1c9f,,q.secondary2.com,,,,
Hyphenation,b'e-xample.com',95.142.10.206,,alt1.aspmx.l.google.com,ns.viatecla.pt,,,,
Hyphenation,b'exam-ple.com',146.148.34.125,,mail.hope-mail.com,a.exam-ple.com,,,,
Hyphenation,b'examp-le.com',146.148.34.125,,mail.hope-mail.com,a.examp-le.com,,,,
Insertion,b'exapmple.com',103.224.212.222,,mx92.m1bp.com,ns15.above.com,,,,
Insertion,b'exsample.com',216.157.88.24,,,ns1.smtmdns.com,,,,
Insertion,b'exampple.com',50.63.202.91,,exampple.com,ns19.domaincontrol.com,,,,
Insertion,b'examplle.com',91.134.15.69,,mail.examplle.com,ns1.loopze.com,,,,
Insertion,b'excample.com',173.239.2.182,,mx7.excample.com,ns1.liverealdeals.com,,,,
Insertion,b'exzample.com',174.137.132.42,,mx7.exzample.com,ns3.renewyourexpiereddomain.com,,,,
Omission,b'xample.com',209.126.123.12,,,ns1.torresdns.com,,,,
Omission,b'exampl.com',141.8.224.169,,,ns27.rookdns.com,,,,
Omission,b'eample.com',176.74.176.187,,,ns1.uniregistrymarket.link,,,,
Omission,b'exmple.com',67.210.233.131,,localhost.exmple.com,ns19.globalcon.net,,,,
Omission,b'exampe.com',69.172.201.153,,,buy.internettraffic.com,,,,
Omission,b'examle.com',69.172.201.153,,,buy.internettraffic.com,,,,
Omission,b'exaple.com',174.137.132.42,,mx7.exaple.com,ns3.domainingdepot.com,,,,
Repetition,b'eexample.com',96.38.240.54,,mail.onlineearth.com,ns02.gwin.charter.com,,,,
Repetition,b'exxample.com',50.63.202.51,,mailstore1.secureserver.net,ns69.domaincontrol.com,,,,
Repetition,b'exaample.com',192.185.188.168,,exaample.com,ns1079.websitewelcome.com,,,,
Replacement,b'wxample.com',69.172.201.153,,,buy.internettraffic.com,,,,
Replacement,b'esample.com',72.52.4.119,,localhost,ns1.sedoparking.com,,,,
Replacement,b'rxample.com',141.8.224.169,,,ns27.rookdns.com,,,,
Replacement,b'exsmple.com',172.99.89.208,,mx156.hostedmxserver.com,ns1.parklogic.com,,,,
Replacement,b'4xample.com',52.204.129.22,,,,,,,
Replacement,b'examplr.com',50.63.202.58,,mailstore1.secureserver.net,pdns07.domaincontrol.com,,,,
Replacement,b'exampls.com',,,,ns29.domaincontrol.com,,,,
Replacement,b'exzmple.com',67.222.8.138,,exzmple.com,dns1.heavyservers.com,,,,
Replacement,b'exampl3.com',,,alt1.gmr-smtp-in.l.google.com,ns-cloud-a1.googledomains.com,,,,
Replacement,b'exapple.com',208.91.197.27,,p.webcom.ctmail.com,ns95.worldnic.com,,,,
Replacement,b'examole.com',69.172.201.153,,,buy.internettraffic.com,,,,
Replacement,b'3xample.com',162.255.119.161,,eforward1.registrar-servers.com,dns1.registrar-servers.com,,,,
Subdomain,b'e.xample.com',209.126.123.12,,,,,,,
Transposition,b'xeample.com',,,mx.xeample.com,delta.netnautics.net,,,,
Transposition,b'exmaple.com',85.119.83.248,,numpty.absolutelyplastered.com,a.authns.bitfolk.com,,,,
Transposition,b'exapmle.com',103.224.182.207,,mx92.m1bp.com,ns1.above.com,,,,
Transposition,b'examlpe.com',213.247.47.190,,mx7.examlpe.com,ns1.expiereddnsmanager.com,,,,
Transposition,b'exampel.com',75.126.212.67,,mail.b-io.co,ns3.domainapps.com,,,,
Vowel-swap,b'exumple.com',,,,dns15.hichina.com,,,,
Vowel-swap,b'examplo.com',45.33.9.234,,mail.pickelhost.com,ns1.mytrafficmanagement.com,,,,
Vowel-swap,b'exampli.com',216.239.32.21,2001:4860:4802:32::15,,ns-cloud-e1.googledomains.com,,,,
Vowel-swap,b'ixample.com',127.0.0.1,,ixample.com,nsv0.nitrado.net,,,,
Various,b'wwexample.com',173.239.2.182,,mx7.wwexample.com,ns1.liverealdeals.com,,,,
Various,b'wwwexample.com',208.73.210.200,,,ns1.dsredirection.com,,,,
Various,b'www-example.com',209.217.249.112,,www-example.com,ns1.mymanagedvps.com,,,,
Various,b'examplecom.com',69.172.201.153,,,buy.internettraffic.com,,,,
